Churn,Contract,customerID,Dependents,DeviceProtection,gender,InternetService,MultipleLines,Sum of MonthlyCharges,Sum of numAdminTickets,Sum of numTechTickets,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingTV,StreamingMovies,TechSupport,Sum of tenure,Sum of TotalCharges
No,Month-to-month,0003-MKNFE,No,No,Male,DSL,Yes,59.9,3,0,No,No,No,No,Mailed check,Yes,No,No,Yes,No,9,542.4
No,Month-to-month,0013-MHZWF,Yes,No,Female,DSL,No,69.4,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,9,571.45
No,Month-to-month,0015-UOCOJ,No,No,Female,DSL,No,48.2,0,0,No,Yes,Yes,No,Electronic check,Yes,Yes,No,No,No,7,340.35
No,Month-to-month,0018-NYROU,No,No,Female,Fiber optic,No,68.95,0,0,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,5,351.5
No,Month-to-month,0021-IKXGC,No,No,Female,Fiber optic,Yes,72.1,0,0,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,1,72.1
No,Month-to-month,0027-KWYKW,Yes,No,Female,Fiber optic,Yes,83.75,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,No,23,1849.95
No,Month-to-month,0030-FNXPP,No,No internet service,Female,No,No,19.85,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,57.2
No,Month-to-month,0058-EVZWM,No,No,Female,Fiber optic,Yes,89.8,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,55,4959.6
No,Month-to-month,0060-FUALY,No,No,Female,Fiber optic,Yes,94.75,0,0,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,No,59,5597.65
No,Month-to-month,0064-YIJGF,Yes,No,Male,Fiber optic,Yes,75.75,0,2,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,27,1929
No,Month-to-month,0076-LVEPS,Yes,Yes,Male,DSL,No phone service,45,0,0,Yes,Yes,Yes,No,Mailed check,No,No,No,No,Yes,29,1242.45
No,Month-to-month,0082-LDZUE,No,No,Male,DSL,No,44.3,0,0,No,No,Yes,No,Mailed check,Yes,No,No,No,No,1,44.3
No,Month-to-month,0082-OQIQY,No,No,Male,Fiber optic,No,94.2,3,0,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,29,2607.6
No,Month-to-month,0089-IIQKO,Yes,No,Female,Fiber optic,Yes,99.95,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,39,3767.4
No,Month-to-month,0093-EXYQL,No,No,Female,Fiber optic,No,91.55,0,0,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,40,3673.6
